,Date,Campaign Code,Campaign Name,PO Number,Channel,Country Code,Tactic,Media Cost,Impressions,Conversions,Clicks,Month,Campaign Mode
30,2022-01-31,FW20,Run,PO311742,FB,UK,Consideration,234.03,84368,2780,4301,2022-01,FW20
31,2022-02-01,FW20,Run,PO965182,FB,UK,Consideration,234.05,84920,2842,4063,2022-02,FW20
32,2022-02-02,FW20,Run,PO518823,FB,UK,Awareness,229.37,83905,67,36488,2022-02,FW20
33,2022-02-03,FW20,Run,PO484986,FB,UK,Awareness,229.43,80497,64,36476,2022-02,FW20
34,2022-02-04,FW20,Run,PO872250,FB,UK,Conversion,514.44,111654,2107,10345,2022-02,FW20
35,2022-02-05,FW20,Run,PO931824,FB,UK,Conversion,515.99,113758,2118,10445,2022-02,FW20
36,2022-02-06,FW20,Run,PO909278,FB,DE,Consideration,363.04,84212,1735,4649,2022-02,FW20
37,2022-02-07,FW20,Run,PO973904,FB,DE,Consideration,363.39,84362,1697,4777,2022-02,FW20
38,2022-02-08,FW20,Run,PO682006,FB,DE,Awareness,364.09,103280,130,63316,2022-02,FW20
39,2022-02-09,FW20,Run,PO434120,FB,DE,Awareness,362.85,105334,127,63371,2022-02,FW20
40,2022-02-10,FW20,Run,PO448432,FB,DE,Conversion,787.55,110943,965,11846,2022-02,FW20
41,2022-02-11,FW20,Run,PO964419,FB,DE,Conversion,789.49,109134,974,11834,2022-02,FW20
42,2022-02-12,FW20,Run,PO852345,FB,UK,Consideration,228.73,78269,2305,4756,2022-02,FW20
43,2022-02-13,FW20,Run,PO161725,FB,UK,Consideration,224.87,77630,2241,3743,2022-02,FW20
44,2022-02-14,FW20,Run,PO484271,FB,UK,Awareness,221.88,93231,55,33440,2022-02,FW20
45,2022-02-15,FW20,Run,PO713519,FB,UK,Awareness,222.51,95275,61,33562,2022-02,FW20
46,2022-02-16,FW20,Run,PO327087,FB,UK,Conversion,490.92,108447,2006,10247,2022-02,FW20
47,2022-02-17,FW20,Run,PO453432,FB,UK,Conversion,499.99,113999,1989,10411,2022-02,FW20
48,2022-02-18,FW20,Run,PO803700,FB,DE,Consideration,354.18,81084,1496,4741,2022-02,FW20
49,2022-02-19,FW20,Run,PO834339,FB,DE,Consideration,353.85,87863,1119,4562,2022-02,FW20
50,2022-02-20,FW20,Run,PO760040,FB,DE,Awareness,369.33,94997,58,81438,2022-02,FW20
51,2022-02-21,FW20,Run,PO338416,FB,DE,Awareness,369.31,94374,61,81917,2022-02,FW20
52,2022-02-22,FW20,Run,PO722764,FB,DE,Conversion,842.73,107671,796,8934,2022-02,FW20
53,2022-02-23,FW20,Run,PO566984,FB,DE,Conversion,842.72,118129,916,11026,2022-02,FW20
54,2022-02-24,FW20,Run,PO254080,FB,UK,Consideration,220.67,64596,1093,3082,2022-02,FW20
55,2022-02-25,FW20,Run,PO346051,FB,UK,Consideration,235.36,76660,2126,5326,2022-02,FW20
56,2022-02-26,FW20,Run,PO469627,FB,UK,Awareness,230.61,93553,43,37924,2022-02,FW20
57,2022-02-27,FW20,Run,PO264454,FB,UK,Awareness,230.57,92422,46,38283,2022-02,FW20
58,2022-02-28,FW20,Run,PO563231,FB,UK,Conversion,520.18,118775,2093,10996,2022-02,FW20
59,2022-03-01,FW20,Run,PO789819,FB,UK,Conversion,518.61,118137,1987,10721,2022-03,FW20
60,2022-03-02,FW20,Run,PO266875,FB,DE,Consideration,367.94,122378,701,6704,2022-03,FW20
61,2022-03-03,FW20,Run,PO250496,FB,DE,Consideration,367.92,101234,513,4320,2022-03,FW20
62,2022-03-04,FW20,Run,PO861772,FB,DE,Awareness,368.93,86526,49,78561,2022-03,FW20
63,2022-03-05,FW20,Run,PO714515,FB,DE,Awareness,369.11,85272,50,78917,2022-03,FW20
64,2022-03-06,FW20,Run,PO222511,FB,DE,Conversion,800.71,112842,820,5038,2022-03,FW20
65,2022-03-07,FW20,Run,PO321670,FB,DE,Conversion,803.45,130151,844,8041,2022-03,FW20
66,2022-03-08,FW20,Run,PO286471,FB,UK,Consideration,232.46,69302,615,1560,2022-03,FW20
67,2022-03-09,FW20,Run,PO249420,FB,UK,Consideration,233.5,78862,2034,6317,2022-03,FW20
68,2022-03-10,FW20,Run,PO270227,FB,UK,Awareness,230.72,73678,42,38607,2022-03,FW20
69,2022-03-11,FW20,Run,PO176084,FB,UK,Awareness,230.4,92921,50,39208,2022-03,FW20
70,2022-03-12,FW20,Run,PO887437,FB,UK,Conversion,517.05,120418,2020,10310,2022-03,FW20
71,2022-03-13,FW20,Run,PO556135,FB,UK,Conversion,518.21,119185,1882,9816,2022-03,FW20
72,2022-03-14,FW20,Run,PO658411,FB,DE,Consideration,384.5,99661,545,5561,2022-03,FW20
73,2022-03-15,FW20,Run,PO970463,FB,DE,Consideration,384.72,88055,470,3859,2022-03,FW20
74,2022-03-16,FW20,Run,PO633480,FB,DE,Awareness,369.13,89343,39,78122,2022-03,FW20
75,2022-03-17,FW20,Run,PO203571,FB,DE,Awareness,369.19,85548,47,78067,2022-03,FW20
76,2022-03-18,FW20,Run,PO373245,FB,DE,Conversion,813.1,109456,763,4872,2022-03,FW20
77,2022-03-19,FW20,Run,PO246152,FB,DE,Conversion,818.4,126581,797,8016,2022-03,FW20
78,2022-03-20,FW20,Run,PO824404,FB,UK,Consideration,236.77,72062,628,1457,2022-03,FW20
79,2022-03-21,FW20,Run,PO616081,FB,UK,Consideration,234.15,76497,1725,5134,2022-03,FW20
80,2022-03-22,FW20,Run,PO144513,FB,UK,Awareness,230.4,83811,48,37502,2022-03,FW20
81,2022-03-23,FW20,Run,PO886310,FB,UK,Awareness,230.36,96453,35,37779,2022-03,FW20
82,2022-03-24,FW20,Run,PO673474,FB,UK,Conversion,496.02,112702,1664,8768,2022-03,FW20
83,2022-03-25,FW20,Run,PO520212,FB,UK,Conversion,497.57,108976,1677,8002,2022-03,FW20
84,2022-03-26,FW20,Run,PO683394,FB,DE,Consideration,381.64,103754,520,5929,2022-03,FW20
85,2022-03-27,FW20,Run,PO835868,FB,DE,Consideration,375.58,90718,494,4539,2022-03,FW20
86,2022-03-28,FW20,Run,PO119944,FB,DE,Awareness,367.49,93604,55,81494,2022-03,FW20
87,2022-03-29,FW20,Run,PO355946,FB,DE,Awareness,367.03,89359,42,79615,2022-03,FW20
88,2022-03-30,FW20,Run,PO472990,FB,DE,Conversion,845.87,104045,778,5126,2022-03,FW20
89,2022-03-31,FW20,Run,PO968460,FB,DE,Conversion,843.47,118770,800,8093,2022-03,FW20
90,2022-04-01,FW20,Run,PO536343,FB,UK,Consideration,232.39,72500,571,1491,2022-04,FW20
91,2022-04-02,FW20,Run,PO315286,FB,UK,Consideration,228.47,70619,1616,5127,2022-04,FW20
92,2022-04-03,FW20,Run,PO972121,FB,UK,Awareness,225.98,81659,41,33865,2022-04,FW20
93,2022-04-04,FW20,Run,PO934098,FB,UK,Awareness,225.34,91038,35,34146,2022-04,FW20
94,2022-04-05,FW20,Run,PO688820,FB,UK,Conversion,507.6,108827,1640,8046,2022-04,FW20
95,2022-04-06,FW20,Run,PO615585,FB,UK,Conversion,498.74,100611,719,2898,2022-04,FW20
96,2022-04-07,FW20,Run,PO348692,FB,DE,Consideration,383.61,109547,580,6326,2022-04,FW20
97,2022-04-08,FW20,Run,PO526761,FB,DE,Consideration,389.4,100617,565,4871,2022-04,FW20
98,2022-04-09,FW20,Run,PO302782,FB,DE,Awareness,369.72,137998,90,127467,2022-04,FW20
99,2022-04-10,FW20,Run,PO582902,FB,DE,Awareness,370.16,135515,93,126955,2022-04,FW20
100,2022-04-11,FW20,Run,PO515425,FB,DE,Conversion,886.53,115194,919,6350,2022-04,FW20
101,2022-04-12,FW20,Run,PO450511,FB,DE,Conversion,878.27,132506,969,9949,2022-04,FW20
102,2022-04-13,FW20,Run,PO591426,FB,UK,Consideration,238.95,82619,696,1686,2022-04,FW20
103,2022-04-14,FW20,Run,PO345676,FB,UK,Consideration,233.6,79694,1545,2228,2022-04,FW20
104,2022-04-15,FW20,Run,PO696115,FB,UK,Awareness,234.04,88556,54,73908,2022-04,FW20
105,2022-04-16,FW20,Run,PO436244,FB,UK,Awareness,234.39,90676,51,73928,2022-04,FW20
106,2022-04-17,FW20,Run,PO210992,FB,UK,Conversion,544.79,108350,1746,7842,2022-04,FW20
107,2022-04-18,FW20,Run,PO628831,FB,UK,Conversion,541.89,120479,516,1151,2022-04,FW20
108,2022-04-19,FW20,Run,PO637901,FB,DE,Consideration,374.07,110658,582,5764,2022-04,FW20
109,2022-04-20,FW20,Run,PO950438,FB,DE,Consideration,374.0,107317,575,4881,2022-04,FW20
110,2022-04-21,FW20,Run,PO108573,FB,DE,Awareness,354.15,120191,66,105865,2022-04,FW20
111,2022-04-22,FW20,Run,PO703130,FB,DE,Awareness,354.18,117811,56,105969,2022-04,FW20
112,2022-04-23,FW20,Run,PO813782,FB,DE,Conversion,818.18,124063,907,6645,2022-04,FW20
113,2022-04-24,FW20,Run,PO204860,FB,DE,Conversion,819.23,147191,1040,11050,2022-04,FW20
114,2022-04-25,FW20,Run,PO857229,FB,UK,Consideration,228.54,89344,678,1688,2022-04,FW20
115,2022-04-26,FW20,Run,PO691084,FB,UK,Consideration,222.11,82782,882,1774,2022-04,FW20
116,2022-04-27,FW20,Run,PO508048,FB,UK,Awareness,221.02,109362,62,48296,2022-04,FW20
117,2022-04-28,FW20,Run,PO314811,FB,UK,Awareness,219.49,95809,54,47885,2022-04,FW20
118,2022-04-29,FW20,Run,PO847849,FB,UK,Conversion,492.04,108205,1613,7054,2022-04,FW20
119,2022-04-30,FW20,Run,PO622671,FB,UK,Conversion,492.38,118584,622,1924,2022-04,FW20
120,2022-05-01,FW20,Run,PO845790,FB,DE,Consideration,362.3,99572,445,4241,2022-05,FW20
121,2022-05-02,FW20,Run,PO774495,FB,DE,Consideration,362.0,94149,450,3652,2022-05,FW20
122,2022-05-03,FW20,Run,PO822855,FB,DE,Awareness,370.63,100649,41,84049,2022-05,FW20
123,2022-05-04,FW20,Run,PO788524,FB,DE,Awareness,370.82,94721,48,84626,2022-05,FW20
124,2022-05-05,FW20,Run,PO958051,FB,DE,Conversion,809.5,121042,772,4700,2022-05,FW20
125,2022-05-06,FW20,Run,PO886678,FB,DE,Conversion,811.31,136063,782,8362,2022-05,FW20
126,2022-05-07,FW20,Run,PO489505,FB,UK,Consideration,228.72,76079,553,1475,2022-05,FW20
127,2022-05-08,FW20,Run,PO927193,FB,UK,Consideration,229.7,58894,363,3028,2022-05,FW20
128,2022-05-09,FW20,Run,PO628694,FB,UK,Awareness,230.86,98091,43,33802,2022-05,FW20
129,2022-05-10,FW20,Run,PO366045,FB,UK,Awareness,230.85,35486,28,31437,2022-05,FW20
130,2022-05-11,FW20,Run,PO186649,FB,UK,Conversion,508.77,100271,1330,5883,2022-05,FW20
131,2022-05-12,FW20,Run,PO359920,FB,UK,Conversion,519.78,103155,515,2108,2022-05,FW20
132,2022-05-13,FW20,Run,PO656598,FB,DE,Consideration,378.74,76989,1119,2984,2022-05,FW20
133,2022-05-14,FW20,Run,PO336345,FB,DE,Consideration,379.47,76341,1440,3251,2022-05,FW20
134,2022-05-15,FW20,Run,PO498847,FB,DE,Awareness,352.62,158182,149,30338,2022-05,FW20
135,2022-05-16,FW20,Run,PO896020,FB,DE,Awareness,353.42,158140,159,31378,2022-05,FW20
136,2022-05-17,FW20,Run,PO293562,FB,DE,Conversion,811.26,99008,569,3026,2022-05,FW20
137,2022-05-18,FW20,Run,PO518942,FB,DE,Conversion,813.72,120355,600,7449,2022-05,FW20
138,2022-05-19,FW20,Run,PO198928,FB,UK,Consideration,236.57,67688,1493,2535,2022-05,FW20
139,2022-05-20,FW20,Run,PO165066,FB,UK,Consideration,237.49,68166,1197,3538,2022-05,FW20
140,2022-05-21,FW20,Run,PO766444,FB,UK,Awareness,217.82,107596,74,11988,2022-05,FW20
141,2022-05-22,FW20,Run,PO252998,FB,UK,Awareness,218.22,94436,69,11696,2022-05,FW20
142,2022-05-23,FW20,Run,PO709002,FB,UK,Conversion,520.66,112319,1430,7247,2022-05,FW20
143,2022-05-24,FW20,Run,PO883323,FB,UK,Conversion,520.21,115119,1506,7115,2022-05,FW20
144,2022-05-25,FW20,Run,PO592376,FB,DE,Consideration,376.22,70166,1165,2272,2022-05,FW20
145,2022-05-26,FW20,Run,PO850960,FB,DE,Consideration,376.44,74341,1363,2572,2022-05,FW20
146,2022-05-27,FW20,Run,PO935921,FB,DE,Awareness,369.72,180911,199,14195,2022-05,FW20
147,2022-05-28,FW20,Run,PO364301,FB,DE,Awareness,367.31,180032,210,14918,2022-05,FW20
148,2022-05-29,FW20,Run,PO428732,FB,DE,Conversion,845.74,99225,478,2539,2022-05,FW20
149,2022-05-30,FW20,Run,PO933850,FB,DE,Conversion,847.06,119050,592,7146,2022-05,FW20
150,2022-05-31,FW20,Run,PO147729,FB,UK,Consideration,235.22,70585,1649,3311,2022-05,FW20
151,2022-06-01,FW20,Run,PO919996,FB,UK,Consideration,236.16,69032,1507,2664,2022-06,FW20
152,2022-06-02,FW20,Run,PO918093,FB,UK,Awareness,227.74,110000,78,4899,2022-06,FW20
153,2022-06-03,FW20,Run,PO142034,FB,UK,Awareness,231.58,110103,72,4923,2022-06,FW20
154,2022-06-04,FW20,Run,PO310562,FB,UK,Conversion,520.75,115660,1447,7707,2022-06,FW20
155,2022-06-05,FW20,Run,PO648019,FB,UK,Conversion,518.9,117674,1667,8345,2022-06,FW20
156,2022-06-06,FW20,Run,PO806277,FB,DE,Consideration,378.06,73692,1473,2984,2022-06,FW20
157,2022-06-07,FW20,Run,PO255859,FB,DE,Consideration,377.63,76229,1494,3887,2022-06,FW20
158,2022-06-08,FW20,Run,PO630238,FB,DE,Awareness,377.46,194651,165,17406,2022-06,FW20
159,2022-06-09,FW20,Run,PO121429,FB,DE,Awareness,358.91,178520,138,13202,2022-06,FW20
160,2022-06-10,FW20,Run,PO798649,FB,DE,Conversion,848.01,107713,1269,6649,2022-06,FW20
161,2022-06-11,FW20,Run,PO261353,FB,DE,Conversion,847.15,115894,1299,9168,2022-06,FW20
162,2022-06-12,FW20,Run,PO167440,FB,UK,Consideration,227.18,67733,1509,2795,2022-06,FW20
163,2022-06-13,FW20,Run,PO100327,FB,UK,Consideration,235.11,73339,1508,3013,2022-06,FW20
164,2022-06-14,FW20,Run,PO353247,FB,UK,Awareness,236.64,134512,137,10885,2022-06,FW20
165,2022-06-15,FW20,Run,PO397632,FB,UK,Awareness,235.52,135874,136,10281,2022-06,FW20
166,2022-06-16,FW20,Run,PO613519,FB,UK,Conversion,498.88,111988,1015,5855,2022-06,FW20
167,2022-06-17,FW20,Run,PO263271,FB,UK,Conversion,501.36,114907,1225,5297,2022-06,FW20
168,2022-06-18,FW20,Run,PO957206,FB,DE,Consideration,374.37,75204,1503,2665,2022-06,FW20
169,2022-06-19,FW20,Run,PO178247,FB,DE,Consideration,352.08,75155,1179,2043,2022-06,FW20
170,2022-06-20,FW20,Run,PO738300,FB,DE,Awareness,365.27,184091,205,13402,2022-06,FW20
171,2022-06-21,FW20,Run,PO412935,FB,DE,Awareness,379.33,141142,107,7532,2022-06,FW20
172,2022-06-22,FW20,Run,PO294051,FB,DE,Conversion,843.23,105379,1857,10177,2022-06,FW20
173,2022-06-23,FW20,Run,PO229915,FB,DE,Conversion,843.8,105286,1132,6328,2022-06,FW20
174,2022-06-24,FW20,Run,PO247138,FB,UK,Consideration,229.57,70669,466,3223,2022-06,FW20
175,2022-06-25,FW20,Run,PO842216,FB,UK,Consideration,228.62,71671,1346,3647,2022-06,FW20
176,2022-06-26,FW20,Run,PO629982,FB,UK,Awareness,228.43,154361,183,15809,2022-06,FW20
177,2022-06-27,FW20,Run,PO519285,FB,UK,Awareness,227.74,154816,163,15236,2022-06,FW20
178,2022-06-28,FW20,Run,PO661622,FB,UK,Conversion,527.46,107966,827,4472,2022-06,FW20
179,2022-06-29,FW20,Run,PO264605,FB,UK,Conversion,519.53,109023,902,4118,2022-06,FW20
180,2022-06-30,FW20,Run,PO436085,FB,DE,Consideration,367.24,80293,1636,2609,2022-06,FW20
181,2022-07-01,FW20,Run,PO248973,FB,DE,Consideration,389.38,64471,314,1485,2022-07,FW20
182,2022-07-02,FW20,Run,PO756909,FB,DE,Awareness,386.15,216424,268,14903,2022-07,FW20
183,2022-07-03,FW20,Run,PO849466,FB,DE,Awareness,392.03,174664,119,9050,2022-07,FW20
184,2022-07-04,FW20,Run,PO305673,FB,DE,Conversion,834.08,106119,1718,8803,2022-07,FW20
185,2022-07-05,FW20,Run,PO739597,FB,DE,Conversion,827.73,108701,1328,8935,2022-07,FW20
186,2022-07-06,FW20,Run,PO900067,FB,UK,Consideration,238.2,75461,476,3944,2022-07,FW20
187,2022-07-07,FW20,Run,PO625672,FB,UK,Consideration,234.81,69202,860,4310,2022-07,FW20
188,2022-07-08,FW20,Run,PO247374,FB,UK,Awareness,240.49,178743,204,17683,2022-07,FW20
189,2022-07-09,FW20,Run,PO884339,FB,UK,Awareness,239.6,178795,204,17439,2022-07,FW20
190,2022-07-10,FW20,Run,PO250028,FB,UK,Conversion,522.44,105789,991,4579,2022-07,FW20
191,2022-07-11,FW20,Run,PO392939,FB,UK,Conversion,518.73,108044,786,3850,2022-07,FW20
192,2022-07-12,FW20,Run,PO309587,FB,DE,Consideration,354.25,84269,1368,1616,2022-07,FW20
193,2022-07-13,FW20,Run,PO214710,FB,DE,Consideration,370.26,68275,358,1724,2022-07,FW20
194,2022-07-14,FW20,Run,PO874178,FB,DE,Awareness,353.34,230918,282,15313,2022-07,FW20
195,2022-07-15,FW20,Run,PO499291,FB,DE,Awareness,356.05,197395,160,9198,2022-07,FW20
196,2022-07-16,FW20,Run,PO121462,FB,DE,Conversion,795.2,102266,1399,6528,2022-07,FW20
197,2022-07-17,FW20,Run,PO886737,FB,DE,Conversion,823.51,119381,1546,9035,2022-07,FW20
198,2022-07-18,FW20,Run,PO970986,FB,UK,Consideration,232.58,82576,499,4156,2022-07,FW20
199,2022-07-19,FW20,Run,PO593307,FB,UK,Consideration,232.85,68317,434,5144,2022-07,FW20
200,2022-07-20,FW20,Run,PO124919,FB,UK,Awareness,221.99,200205,197,17795,2022-07,FW20
201,2022-07-21,FW20,Run,PO590655,FB,UK,Awareness,221.93,198558,187,18132,2022-07,FW20
202,2022-07-22,FW20,Run,PO952736,FB,UK,Conversion,493.07,105238,881,4424,2022-07,FW20
203,2022-07-23,FW20,Run,PO618668,FB,UK,Conversion,500.56,109767,861,4279,2022-07,FW20
204,2022-07-24,FW20,Run,PO700156,FB,DE,Consideration,378.14,71172,353,1548,2022-07,FW20
205,2022-07-25,FW20,Run,PO334091,FB,DE,Consideration,375.36,66304,298,1513,2022-07,FW20
206,2022-07-26,FW20,Run,PO271482,FB,DE,Awareness,358.0,183736,182,12295,2022-07,FW20
207,2022-07-27,FW20,Run,PO120445,FB,DE,Awareness,363.27,180369,123,9202,2022-07,FW20
208,2022-07-28,FW20,Run,PO838122,FB,DE,Conversion,806.56,107621,1154,6149,2022-07,FW20
209,2022-07-29,FW20,Run,PO298958,FB,DE,Conversion,803.45,126952,1216,8489,2022-07,FW20
210,2022-07-30,FW20,Run,PO670769,FB,UK,Consideration,231.25,78095,482,3995,2022-07,FW20
211,2022-07-31,FW20,Run,PO221739,FB,UK,Consideration,230.73,67629,435,5121,2022-07,FW20
212,2022-08-01,FW20,Run,PO384160,FB,UK,Awareness,225.28,201715,230,17762,2022-08,FW20
213,2022-08-02,FW20,Run,PO545603,FB,UK,Awareness,226.26,202415,211,17558,2022-08,FW20
214,2022-08-03,FW20,Run,PO476411,FB,UK,Conversion,503.99,101402,724,3064,2022-08,FW20
215,2022-08-04,FW20,Run,PO398942,FB,UK,Conversion,502.66,110823,782,4247,2022-08,FW20
216,2022-08-05,FW20,Run,PO622894,FB,DE,Consideration,373.78,79768,365,1493,2022-08,FW20
217,2022-08-06,FW20,Run,PO309496,FB,DE,Consideration,373.79,68640,287,1613,2022-08,FW20
218,2022-08-07,FW20,Run,PO689008,FB,DE,Awareness,360.43,179650,154,11329,2022-08,FW20
219,2022-08-08,FW20,Run,PO836356,FB,DE,Awareness,362.48,177983,132,8686,2022-08,FW20
220,2022-08-09,FW20,Run,PO819621,FB,DE,Conversion,846.24,110202,1306,7253,2022-08,FW20
221,2022-08-10,FW20,Run,PO278011,FB,DE,Conversion,842.29,128097,1283,8556,2022-08,FW20
222,2022-08-11,FW20,Run,PO862438,FB,UK,Consideration,231.59,70564,444,3661,2022-08,FW20
223,2022-08-12,FW20,Run,PO740861,FB,UK,Consideration,231.65,61472,355,4539,2022-08,FW20
224,2022-08-13,FW20,Run,PO381447,FB,UK,Awareness,226.67,197765,189,16686,2022-08,FW20
225,2022-08-14,FW20,Run,PO288901,FB,UK,Awareness,225.67,192190,183,15804,2022-08,FW20
226,2022-08-15,FW20,Run,PO906585,FB,UK,Conversion,520.84,95262,716,2589,2022-08,FW20
227,2022-08-16,FW20,Run,PO298446,FB,UK,Conversion,519.61,99773,782,3497,2022-08,FW20
228,2022-08-17,FW20,Run,PO287665,FB,DE,Consideration,378.49,65444,300,1368,2022-08,FW20
229,2022-08-18,FW20,Run,PO447896,FB,DE,Consideration,374.97,62679,320,1325,2022-08,FW20
230,2022-08-19,FW20,Run,PO168424,FB,DE,Awareness,362.57,186928,170,11145,2022-08,FW20
231,2022-08-20,FW20,Run,PO832051,FB,DE,Awareness,364.16,180791,134,8731,2022-08,FW20
232,2022-08-21,FW20,Run,PO370456,FB,DE,Conversion,846.3,108132,1175,6992,2022-08,FW20
233,2022-08-22,FW20,Run,PO735907,FB,DE,Conversion,842.64,126109,1244,8499,2022-08,FW20
234,2022-08-23,FW20,Run,PO658510,FB,UK,Consideration,227.89,72047,390,3249,2022-08,FW20
235,2022-08-24,FW20,Run,PO258025,FB,UK,Consideration,231.75,57905,306,4088,2022-08,FW20
236,2022-08-25,FW20,Run,PO707143,FB,UK,Awareness,226.11,199428,201,15725,2022-08,FW20
237,2022-08-26,FW20,Run,PO594421,FB,UK,Awareness,225.25,197458,161,15113,2022-08,FW20
238,2022-08-27,FW20,Run,PO707596,FB,UK,Conversion,511.29,88035,670,2157,2022-08,FW20
239,2022-08-28,FW20,Run,PO385457,FB,UK,Conversion,520.49,91725,784,3025,2022-08,FW20
240,2022-08-29,FW20,Run,PO251928,FB,DE,Consideration,369.86,62300,281,1321,2022-08,FW20
241,2022-08-30,FW20,Run,PO302468,FB,DE,Consideration,372.74,62421,264,1391,2022-08,FW20
242,2022-08-31,FW20,Run,PO951790,FB,DE,Awareness,380.81,187021,176,11493,2022-08,FW20
243,2022-09-01,FW20,Run,PO224622,FB,DE,Awareness,374.84,167214,105,8556,2022-09,FW20
244,2022-09-02,FW20,Run,PO451683,FB,DE,Conversion,817.37,101875,1135,6508,2022-09,FW20
245,2022-09-03,FW20,Run,PO356651,FB,DE,Conversion,812.8,118836,1145,8212,2022-09,FW20
246,2022-09-04,FW20,Run,PO579387,FB,UK,Consideration,234.4,72130,415,3739,2022-09,FW20
247,2022-09-05,FW20,Run,PO455877,FB,UK,Consideration,233.46,60077,362,4313,2022-09,FW20
248,2022-09-06,FW20,Run,PO150469,FB,UK,Awareness,231.77,201844,179,15919,2022-09,FW20
249,2022-09-07,FW20,Run,PO187444,FB,UK,Awareness,231.52,202175,181,15710,2022-09,FW20
250,2022-09-08,FW20,Run,PO656209,FB,UK,Conversion,522.65,99651,714,2513,2022-09,FW20
251,2022-09-09,FW20,Run,PO427494,FB,UK,Conversion,519.48,103463,702,3244,2022-09,FW20
252,2022-09-10,FW20,Run,PO781163,FB,DE,Consideration,380.77,62695,291,1593,2022-09,FW20
253,2022-09-11,FW20,Run,PO991736,FB,DE,Consideration,373.63,60074,242,1628,2022-09,FW20
254,2022-09-12,FW20,Run,PO287954,FB,DE,Awareness,372.59,179575,138,10762,2022-09,FW20
255,2022-09-13,FW20,Run,PO982405,FB,DE,Awareness,369.22,167389,132,8536,2022-09,FW20
256,2022-09-14,FW20,Run,PO322943,FB,DE,Conversion,854.43,100743,1110,5952,2022-09,FW20
257,2022-09-15,FW20,Run,PO910046,FB,DE,Conversion,850.48,111210,1114,6959,2022-09,FW20
258,2022-09-16,FW20,Run,PO512511,FB,UK,Consideration,233.96,64758,370,3907,2022-09,FW20
259,2022-09-17,FW20,Run,PO928589,FB,UK,Consideration,232.89,53744,299,4506,2022-09,FW20
